Berlin			1	3,336,026	3,208,719	3,433,695	3,275,000	887,70		3,899	 Berlin                		
Hamburg	        	1	1,605,606	1,793,640	1,652,363	1,686,100	755,16		2,366	 Hamburg
Munich			1	831,937		1,311,978	1,229,026	1,185,400	310,69		4,355	 Bavaria
Cologne			0	594,941		849,451		953,551		965,300		405,17		2,486	 North Rhine-Westphalia
Frankfurt		0	532,037		666,179		644,865		648,000		248,31		2,737	 Hesse
Essen			0	605,411		696,419		626,973		588,800		210,32		2,732	 North Rhine-Westphalia
Dortmund		0	507,349		640,642		599,055		587,600		280,71		2,068	 North Rhine-Westphalia
Stuttgart		1	496,490		634,202		579,988		581,100		207,35		2,925	 Baden-Württemberg
Düsseldorf		1	500,516		660,963		575,794		568,900		217,22		2,710	 North Rhine-Westphalia
Bremen			1	444,549		592,533		551,219		527,900		325,42		1,682	 Bremen
Hanover			1	444,296		521,003		513,010		516,300		204,14		2,560	 Lower Saxony
Duisburg		0	410,783		452,721		535,447		513,400		232,83		2,103	 North Rhine-Westphalia
Nuremberg		0	362,459		478,181		493,692		486,700		186,38		2,713	 Bavaria
Leipzig			0	617,574		583,885		511,079		486,100		297,36		1,758	 Saxony
Dresden			1	494,187		502,432		490,571		473,300		328,31		1,593	 Saxony
Bochum			0	289,804		343,809		396,486		388,100		145,66		2,573	 North Rhine-Westphalia
Wuppertal		0	363,224		417,694		383,660		365,400		168,39		2,077	 North Rhine-Westphalia
Bielefeld		0	153,613		168,609		319,037		320,900		257,92		1,253	 North Rhine-Westphalia
Bonn			0	115,394		275,722		292,234		307,500		141,22		2,301	 North Rhine-Westphalia
Mannheim		0	245,634		332,378		310,411		306,100		144,96		2,160	 Baden-Württemberg
Karlsruhe		0	198,840		259,091		275,061		279,600		173,46		1,699	 Baden-Württemberg
Gelsenkirchen		0	315,460		347,074		293,714		276,200		104,94		2,458	 North Rhine-Westphalia
Wiesbaden		1	220,741		250,715		260,301		269,200		203,93		1,353	 Hesse
Münster			0	118,496		198,878		259,438		265,900		302,96		924	 North Rhine-Westphalia
Mönchengladbach		0	124,879		151,085		259,436		264,400		170,45		1,514	 North Rhine-Westphalia
Chemnitz		0	293,373		299,411		294,244		255,600		220,84		1,101	 Saxony
Augsburg		0	185,183		213,230		256,877		253,800		146,84		1,803	 Bavaria
Braunschweig		0	223,760		223,275		258,833		243,700		192,15		1,295	 Saxony
Aachen			0	129,811		175,451		241,861		241,300		160,84		1,608	 North Rhine-Westphalia
Krefeld			0	171,875		222,666		244,020		238,000		137,75		1,707	 North Rhine-Westphalia
Halle			0	289,119		257,261		310,234		237,400		135,02		1,725	 Saxony-Anhalt
Kiel			1	254,449		271,070		245,567		229,900		118,65		2,019	 Schleswig-Holstein
Magdeburg		1	260,305		272,237		278,807		224,100		200,99		1,152	 Saxony-Anhalt
Oberhausen		0	202,808		246,199		223,840		221,700		77,11		2,762	 North Rhine-Westphalia
Lübeck			0	238,276		239,955		214,758		213,400		214,21		981	 Schleswig-Holstein
Freiburg		0	109,717		163,568		191,029		206,300		153,06		1,465	 Baden-Württemberg
Hagen			0	146,401		201,042		214,449		201,700		160,35		1,176	 Rhine-Westphalia
Erfurt			1	188,650		196,528		208,989		195,000		269,14		762	 Thuringia
Kassel			0	162,132		214,785		194,268		193,500		106,78		1,831	 Hesse
Rostock			0	133,109		198,636		248,088		192,100		181,26		1,118	 Mecklenburg-Vorpommern
Mainz			1	88,369		174,858		179,486		186,700		97,74		2,038	 Rhineland-Palatinate
Hamm			0	59,866		84,629		179,639		180,300		226,25		803	 Rhine-Westphalia
Saarbrücken		1	111,450		128,251		191,694		180,000		167,09		1,052	 Saarland
Herne			0	111,591		103,849		178,132		174,200		51,41		3,205	 North Rhine-Westphalia
Mülheim an der Ruhr	0	149,589		192,183		177,681		173,000		91,29		1,833	 North Rhine-Westphalia
Solingen		0	147,845		177,124		165,401		164,500		89,54		1,786	 Rhine-Westphalia
Osnabrück		0	109,538		144,864		163,168		164,000		119,80		1,370	 Lower Saxony
Ludwigshafen am Rhein	0	123,869		176,257		162,233		162,000		77,55		2,117	 Rhineland-Palatinate
Leverkusen		0	65,531		107,626		160,919		161,700		78,87		2,038	 North Rhine-Westphalia
Oldenburg		0	122,809		131,545		143,131		157,600		102,98		1,575	 Saxony


------------------------------------------------------------------------------------------------------------------------------------------------
Berlin                  1	1950	 3,336,026	 887,70		 Berlin     	       		
Hamburg                 1	1950	 1,605,606	 755,16		 Hamburg
Munich                  1	1950	 831,937	 310,69		 Bavaria
Cologne                 0	1950	 594,941	 405,17		 North Rhine-Westphalia
Frankfurt               0	1950	 532,037	 248,31		 Hesse
Essen                   0	1950	 605,411	 210,32		 North Rhine-Westphalia
Dortmund                0	1950	 507,349	 280,71		 North Rhine-Westphalia
Stuttgart               1	1950	 496,490	 207,35		 Baden-Württemberg
Düsseldorf              1	1950	 500,516	 217,22		 North Rhine-Westphalia
Bremen                  1	1950	 444,549	 325,42		 Bremen
Hanover                 1	1950	 444,296	 204,14		 Lower Saxony
Duisburg                0	1950	 410,783	 232,83		 North Rhine-Westphalia
Nuremberg               0	1950	 362,459	 186,38		 Bavaria
Leipzig                 0	1950	 617,574	 297,36		 Saxony
Dresden                 1	1950	 494,187	 328,31		 Saxony
Bochum                  0	1950	 289,804	 145,66		 North Rhine-Westphalia
Wuppertal               0	1950	 363,224	 168,39		 North Rhine-Westphalia
Bielefeld               0	1950	 153,613	 257,92		 North Rhine-Westphalia
Bonn                    0	1950	 115,394	 141,22		 North Rhine-Westphalia
Mannheim                0	1950	 245,634	 144,96		 Baden-Württemberg
Karlsruhe               0	1950	 198,840	 173,46		 Baden-Württemberg
Gelsenkirchen           0	1950	 315,460	 104,94		 North Rhine-Westphalia
Wiesbaden               1	1950	 220,741	 203,93		 Hesse
Münster                 0	1950	 118,496	 302,96		 North Rhine-Westphalia
Mönchengladbach         0	1950	 124,879	 170,45		 North Rhine-Westphalia
Chemnitz                0	1950	 293,373	 220,84		 Saxony
Augsburg                0	1950	 185,183	 146,84		 Bavaria
Braunschweig            0	1950	 223,760	 192,15		 Saxony
Aachen                  0	1950	 129,811	 160,84		 North Rhine-Westphalia
Krefeld                 0	1950	 171,875	 137,75		 North Rhine-Westphalia
Halle                   0	1950	 289,119	 135,02		 Saxony-Anhalt
Kiel                    1	1950	 254,449	 118,65		 Schleswig-Holstein
Magdeburg               1	1950	 260,305	 200,99		 Saxony-Anhalt
Oberhausen              0	1950	 202,808	 77,11		 North Rhine-Westphalia
Lübeck                  0	1950	 238,276	 214,21		 Schleswig-Holstein
Freiburg                0	1950	 109,717	 153,06		 Baden-Württemberg
Hagen                   0	1950	 146,401	 160,35		 Rhine-Westphalia
Erfurt                  1	1950	 188,650	 269,14		 Thuringia
Kassel                  0	1950	 162,132	 106,78		 Hesse
Rostock                 0	1950	 133,109	 181,26		 Mecklenburg-Vorpommern
Mainz                   1	1950	 88,369		 97,74		 Rhineland-Palatinate
Hamm                    0	1950	 59,866		 226,25		 Rhine-Westphalia
Saarbrücken             1	1950	 111,450	 167,09		 Saarland
Herne                   0	1950	 111,591	 51,41		 North Rhine-Westphalia
Mülheim an der Ruhr     0	1950	 149,589	 91,29		 North Rhine-Westphalia
Solingen                0	1950	 147,845	 89,54		 Rhine-Westphalia
Osnabrück               0	1950	 109,538	 119,80		 Lower Saxony
Ludwigshafen am Rhein   0	1950	 123,869	 77,55		 Rhineland-Palatinate
Leverkusen              0	1950	 65,531		 78,87		 North Rhine-Westphalia
Oldenburg               0	1950	 122,809	 102,98		 Saxony
------------------------------------------------------------------------------------------------------------------------------------------------
Berlin                  1	1970	 3,208,719        887,70          Berlin                 		
Hamburg                 1	1970	 1,793,640        755,16          Hamburg
Munich                  1	1970	 1,311,978        310,69          Bavaria
Cologne                 0	1970	 849,451          405,17          North Rhine-Westphalia
Frankfurt               0	1970	 666,179          248,31          Hesse
Essen                   0	1970	 696,419          210,32          North Rhine-Westphalia
Dortmund                0	1970	 640,642          280,71          North Rhine-Westphalia
Stuttgart               1	1970	 634,202          207,35          Baden-Württemberg
Düsseldorf              1	1970	 660,963          217,22          North Rhine-Westphalia
Bremen                  1	1970	 592,533          325,42          Bremen
Hanover                 1	1970	 521,003          204,14          Lower Saxony
Duisburg                0	1970	 452,721          232,83          North Rhine-Westphalia
Nuremberg               0	1970	 478,181          186,38          Bavaria
Leipzig                 0	1970	 583,885          297,36          Saxony
Dresden                 1	1970	 502,432          328,31          Saxony
Bochum                  0	1970	 343,809          145,66          North Rhine-Westphalia
Wuppertal               0	1970	 417,694          168,39          North Rhine-Westphalia
Bielefeld               0	1970	 168,609          257,92          North Rhine-Westphalia
